2020-03-12 00:37:11.045 http-nio-15016-exec-17 INFO  flowRecorder - 10.71.64.44,userIp:112.14.111.110,2233F068-E2BD-4EFA-AC33-44380417F8B2,64800b8ff158c9946a2e0d2eb4ddb930,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=2233F068-E2BD-4EFA-AC33-44380417F8B2&platform=ios,
2020-03-12 00:37:31.016 http-nio-15016-exec-2 INFO  flowRecorder - 10.71.64.45,userIp:117.136.40.152,F2C07253-62DE-44F5-AFD3-5B24AE8CBBCA,f269058079cb602089c5031fab4236ae,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=F2C07253-62DE-44F5-AFD3-5B24AE8CBBCA&platform=ios,
2020-03-12 00:41:14.517 http-nio-15016-exec-29 INFO  flowRecorder - 10.71.64.104,userIp:117.37.63.12,5C1F7D90-4C78-4312-8118-9A1175B1FFCF,55b33257bba0883e07d99b0b1927d86b,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=5C1F7D90-4C78-4312-8118-9A1175B1FFCF&platform=ios,
2020-03-12 00:42:30.953 http-nio-15016-exec-28 INFO  flowRecorder - 10.71.64.107,userIp:117.136.63.162,790EE6D6-F183-435D-9DE5-5326AED6DE58,,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=790EE6D6-F183-435D-9DE5-5326AED6DE58&platform=ios,
2020-03-12 00:42:38.092 http-nio-15016-exec-8 INFO  flowRecorder - 10.71.64.105,userIp:27.29.212.204,36D1649D-B9D8-4894-B352-17379A105FE0,c1e29033cf012a2e0bdf93842b76ba55,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=36D1649D-B9D8-4894-B352-17379A105FE0&platform=ios,
2020-03-12 00:45:28.275 http-nio-15016-exec-25 INFO  flowRecorder - 10.71.64.107,userIp:120.229.240.53,869503A5-7620-4C6B-977C-A76359F7C18F,4ff05d50cce792cff5c67c886a100684,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=869503A5-7620-4C6B-977C-A76359F7C18F&platform=ios,
2020-03-12 00:46:41.713 http-nio-15016-exec-24 INFO  flowRecorder - 10.71.64.45,userIp:223.104.3.200,6CCE0040-4595-4409-938F-3252B37E2AE7,518e24380700c10b8bad7155fe518e04,tian tian ying qiu/6.3.1 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.3.1&idfa=6CCE0040-4595-4409-938F-3252B37E2AE7&platform=ios,
2020-03-12 00:47:48.282 http-nio-15016-exec-2 INFO  flowRecorder - 10.71.64.45,userIp:112.49.178.58,A865C022-ACA3-439E-ADA9-A66C0215AB4A,639d11ed9c628e8128a1829a0429e131,tian tian ying qiu/6.5.0 (iPhone; iOS 11.2.2; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=A865C022-ACA3-439E-ADA9-A66C0215AB4A&platform=ios,
2020-03-12 00:49:12.381 http-nio-15016-exec-17 INFO  flowRecorder - 10.71.64.45,userIp:223.104.63.46,EF9F5F03-2980-4DBD-8AEE-30A1815E89E1,436b8911058f54c933f18e3f706d91cd,tian tian ying qiu/6.5.0 (iPhone; iOS 12.0.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=EF9F5F03-2980-4DBD-8AEE-30A1815E89E1&platform=ios,
2020-03-12 00:51:04.261 http-nio-15016-exec-26 INFO  flowRecorder - 10.71.64.107,userIp:221.231.167.107,CCAA9972-C0B3-427F-8D67-FA75C73C2815,408e6eccb6ced07bff14974ea09ee3dd,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=CCAA9972-C0B3-427F-8D67-FA75C73C2815&platform=ios,
2020-03-12 00:53:33.818 http-nio-15016-exec-11 INFO  flowRecorder - 10.71.64.105,userIp:112.50.143.19,87CDBAEF-CB9A-4745-AFDC-50D7388D228B,,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=87CDBAEF-CB9A-4745-AFDC-50D7388D228B&platform=ios,
2020-03-12 00:53:35.845 http-nio-15016-exec-17 INFO  flowRecorder - 10.71.64.104,userIp:117.136.101.27,BDDCE8E7-00E2-4834-9508-2FD8DDCB7128,ab650ef36cdd49d98c261108001c9545,tian tian ying qiu/6.5.0 (iPhone; iOS 13.2.3; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=BDDCE8E7-00E2-4834-9508-2FD8DDCB7128&platform=ios,
2020-03-12 00:53:54.172 http-nio-15016-exec-21 INFO  flowRecorder - 10.71.64.107,userIp:27.25.52.236,3F00FCC5-DE64-4CB3-8046-5C61ED9724E9,8a09425efe1f3f9a1983138ca04bf102,tian tian ying qiu/6.5.0 (iPhone; iOS 12.4.5; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=3F00FCC5-DE64-4CB3-8046-5C61ED9724E9&platform=ios,
2020-03-12 00:57:16.456 http-nio-15016-exec-11 INFO  flowRecorder - 10.71.64.44,userIp:172.58.95.94,136A18D8-17C6-409A-95E2-9822691503C0,,tian tian ying qiu/6.3.1 (iPhone; iOS 11.1.2; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.3.1&idfa=136A18D8-17C6-409A-95E2-9822691503C0&platform=ios,
2020-03-12 00:59:48.358 http-nio-15016-exec-20 INFO  flowRecorder - 10.71.64.105,userIp:123.55.22.220,09928583-8E00-408A-80E3-6DBCAEDDB781,998ad176671bb6d06a6c40103f37bc60,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=09928583-8E00-408A-80E3-6DBCAEDDB781&platform=ios,
2020-03-12 01:12:05.039 http-nio-15016-exec-20 INFO  flowRecorder - 10.71.64.45,userIp:183.60.140.21,953F3685-EA6D-4F0B-8634-6BE4CEB0B899,a0ea2023c923c2e792994618a7596182,tian tian ying qiu/6.5.0 (iPhone; iOS 12.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=953F3685-EA6D-4F0B-8634-6BE4CEB0B899&platform=ios,
2020-03-12 01:16:01.539 http-nio-15016-exec-17 INFO  flowRecorder - 10.71.64.44,userIp:115.239.231.147,E1630F39-70A5-4EC0-B824-7A23F2EF1EC4,4a97a54948b3f50514646f36ea99b8ff,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=E1630F39-70A5-4EC0-B824-7A23F2EF1EC4&platform=ios,
2020-03-12 01:17:06.878 http-nio-15016-exec-12 INFO  flowRecorder - 10.71.64.44,userIp:114.239.10.38,A6F704A3-960E-442B-9FAF-39D9A1C22655,03f8baa6e921c6c63c578e4c052adfd8,tian tian ying qiu/6.5.0 (iPhone; iOS 13.1.3; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=A6F704A3-960E-442B-9FAF-39D9A1C22655&platform=ios,
2020-03-12 01:25:02.226 http-nio-15016-exec-6 INFO  flowRecorder - 10.71.64.45,userIp:183.251.22.84,F59C718E-DA96-4182-B473-CF9E2C4B9DDF,d8014ffd3fe3bd9ca0cf8acbef0f7c46,tian tian ying qiu/6.5.0 (iPhone; iOS 10.3.3; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=F59C718E-DA96-4182-B473-CF9E2C4B9DDF&platform=ios,
2020-03-12 01:31:12.755 http-nio-15016-exec-32 INFO  flowRecorder - 10.71.64.45,userIp:112.14.111.110,2233F068-E2BD-4EFA-AC33-44380417F8B2,64800b8ff158c9946a2e0d2eb4ddb930,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=2233F068-E2BD-4EFA-AC33-44380417F8B2&platform=ios,
2020-03-12 01:37:32.867 http-nio-15016-exec-32 INFO  flowRecorder - 10.71.64.44,userIp:112.64.119.185,839173B0-A98C-4D85-9C1B-E926EA4A7B5A,c519cd0633868505c4016ab45301c3bf,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=839173B0-A98C-4D85-9C1B-E926EA4A7B5A&platform=ios,
2020-03-12 01:39:10.976 http-nio-15016-exec-28 INFO  flowRecorder - 10.71.64.107,userIp:113.118.114.42,C9E19B05-6A3C-4E89-B80D-A1D30D5605C6,f0cc77503093b29bc8c4949a0e58ebb7,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=C9E19B05-6A3C-4E89-B80D-A1D30D5605C6&platform=ios,
2020-03-12 01:39:25.787 http-nio-15016-exec-33 INFO  flowRecorder - 10.71.64.45,userIp:58.62.165.149,4E742536-70AA-4113-8CFB-0C8C3B55791A,0649a4b9f4783eea63d44e3af3254975,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=4E742536-70AA-4113-8CFB-0C8C3B55791A&platform=ios,
2020-03-12 01:41:18.351 http-nio-15016-exec-1 INFO  flowRecorder - 10.71.64.45,userIp:117.136.101.27,BDDCE8E7-00E2-4834-9508-2FD8DDCB7128,ab650ef36cdd49d98c261108001c9545,tian tian ying qiu/6.5.0 (iPhone; iOS 13.2.3; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=BDDCE8E7-00E2-4834-9508-2FD8DDCB7128&platform=ios,
